num_of_processes,num_of_iterations,length_of_message,max_memory_usage,max_cpu_usage
4,20000,450,26.845184,1.3447032258064515
2,20000,450,21.921792,0.6734850299401197
6,90000,450,32.206848,1.9901019108280256
2,10000,50,21.516288,0.6576855345911949
2,20000,50,21.827584,0.6698333333333334
7,105000,50,36.5568,2.3360256410256413
1,5000,250,19.308544,0.3344331210191082
6,60000,250,32.722944,2.0210387096774194
8,120000,250,39.079936,2.6681602564102564
3,15000,50,24.465408,0.9932611464968152
3,30000,50,24.395776,0.9830188679245284
8,120000,50,40.095744,2.794537414965986
1,5000,50,19.099648,0.3321139240506329
4,40000,50,27.152384,1.3377435897435896
8,120000,50,40.12032,2.6479125
2,10000,50,22.024192,0.6588012820512821
4,40000,50,27.766784,1.3269554140127386
7,105000,50,37.400576,2.3291025641025644
3,15000,350,24.559616,1.0023076923076923
6,60000,350,32.763904,1.989630573248408
4,60000,350,29.569024,1.3690569620253166
4,20000,250,27.17696,1.3124177215189872
3,30000,250,24.469504,0.9968216560509556
8,120000,250,40.886272,2.686774193548387
1,5000,350,19.120128,0.3383096774193548
3,30000,350,24.539136,1.0026666666666668
8,120000,350,40.730624,2.7186274509803923
4,20000,350,27.099136,1.3364807692307692
6,60000,350,32.362496,2.016458064516129
8,120000,350,41.69728,2.7069738562091503
1,5000,50,19.202048,0.3342547770700637
5,50000,50,29.270016,1.6500191082802549
5,75000,50,33.079296,1.6910628930817608
3,15000,450,24.768512,1.014075
2,20000,450,21.917696,0.6717820512820514
6,90000,450,36.610048,2.003403846153846
3,15000,250,24.71936,1.0030576923076922
5,50000,250,29.794304,1.7071032258064518
7,105000,250,40.517632,2.335224358974359
3,15000,350,24.195072,1.0052193548387096
3,30000,350,24.502272,1.0088645161290324
6,90000,350,38.223872,2.002089743589744
4,20000,350,27.426816,1.3446064516129033
3,30000,350,24.518656,1.0190191082802549
8,120000,350,43.298816,2.687870967741936
2,10000,150,21.798912,0.6787207792207792
6,60000,150,32.329728,2.0038910256410256
8,120000,150,42.47552,2.8715448717948715
2,10000,450,21.819392,0.6743607594936708
2,20000,450,21.827584,0.6683333333333332
5,75000,450,34.136064,1.6942
2,10000,450,21.79072,0.6657707006369428
3,30000,450,24.45312,0.998852564102564
5,75000,450,34.353152,1.6684437499999998
4,20000,150,27.373568,1.3272115384615386
6,60000,150,31.870976,2.021561290322581
7,105000,150,39.350272,2.3350320512820515
2,10000,250,21.925888,0.6802929936305733
6,60000,250,32.374784,1.990808917197452
4,60000,250,31.084544,1.345316129032258
1,5000,250,19.324928,0.3858614457831325
2,20000,250,21.655552,0.6663566878980892
6,90000,250,36.450304,2.0382894736842108
3,15000,450,24.256512,1.009
4,40000,450,27.471872,1.3437096774193549
6,90000,450,37.35552,1.9999102564102564
2,10000,150,21.700608,0.6647834394904459
2,20000,150,21.741568,0.6684294871794871
4,60000,150,31.576064,1.3196708860759494
1,5000,150,19.144704,0.3965286624203822
4,40000,150,27.185152,1.3108490566037736
6,90000,150,37.470208,2.010191082802548
3,15000,450,24.567808,0.9964968152866244
3,30000,450,24.49408,1.0123846153846154
5,75000,450,34.844672,1.669551282051282
2,10000,150,21.819392,0.6651146496815287
5,50000,150,30.179328,1.6283018867924528
5,75000,150,34.267136,1.6583694267515925
2,10000,250,22.040576,0.66291875
2,20000,250,21.856256,0.6821372549019609
6,90000,250,37.056512,2.015606451612903
1,5000,350,19.030016,0.337275641025641
3,30000,350,24.223744,1.003403846153846
7,105000,350,40.349696,2.335198717948718
3,15000,450,24.252416,1.0153246753246754
2,20000,450,21.655552,0.6743032258064516
8,120000,450,43.552768,2.684903225806452
2,10000,350,21.901312,0.6716346153846153
2,20000,350,21.651456,0.6698104575163398
5,75000,350,35.094528,1.6720705128205129
1,5000,250,19.042304,0.3347834394904458
5,50000,250,30.359552,1.6677884615384615
5,75000,250,34.418688,1.6697125
3,15000,450,24.399872,1.0160454545454547
5,50000,450,30.015488,1.6792064516129033
8,120000,450,43.433984,2.6859032258064515
2,10000,250,22.065152,0.67175
2,20000,250,21.843968,0.6729050632911393
7,105000,250,40.22272,2.3569483870967742
3,15000,350,24.272896,0.9960063694267516
2,20000,350,21.622784,0.6787272727272728
