Model,Target,Training Time,Inference Time,Total Time
RandomForest,Max CPU Usage,0.0822288990020752,0.003988027572631836,0.1070566177368164
LinearRegression,Max CPU Usage,0.0011806488037109375,0.00047326087951660156,0.002657651901245117
DecisionTree,Max CPU Usage,0.001298666000366211,0.0005004405975341797,0.0029523372650146484
SVR,Max CPU Usage,0.004407405853271484,0.0013165473937988281,0.007162809371948242
XGBoost,Max CPU Usage,0.7677028179168701,0.00558161735534668,0.7757208347320557
BasicNN,Max CPU Usage,0.34646034240722656,0.00014019012451171875,0.34844303131103516
RandomForest,Max Memory Usage,0.07901477813720703,0.0038950443267822266,0.10289430618286133
LinearRegression,Max Memory Usage,0.001089334487915039,0.00048041343688964844,0.0025060176849365234
DecisionTree,Max Memory Usage,0.00122833251953125,0.0005116462707519531,0.0028963088989257812
SVR,Max Memory Usage,0.0047457218170166016,0.0014960765838623047,0.0075914859771728516
XGBoost,Max Memory Usage,1.5480711460113525,0.0014507770538330078,1.5523741245269775
BasicNN,Max Memory Usage,0.32860374450683594,0.00013828277587890625,0.33057594299316406
