Unique DAG ID,DAG Input,Function Name,Input Feature,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Start Time,End Time,Timeout Status
AS-8a34ea83-8f6f-46c7-8ba4-e41db11737c1,0.0057288220551378445,wait1,,1180,,128,1,9.539584,0.023483870967741936,1711076559327,1711076560507,False
AS-8a34ea83-8f6f-46c7-8ba4-e41db11737c1,0.0057288220551378445,AES1,0.0024706766917293233,19777,19777,256,8,21.803008,1.3945066666666666,1711076562042,1711076581819,False
AS-8a34ea83-8f6f-46c7-8ba4-e41db11737c1,0.0057288220551378445,AES2,0.006380451127819549,19589,19777,256,8,27.119616,2.7080519480519483,1711076562283,1711076581872,False
AS-8a34ea83-8f6f-46c7-8ba4-e41db11737c1,0.0057288220551378445,AES3,0.008335338345864661,19431,19777,256,8,29.917184,3.4248815789473683,1711076562289,1711076581720,False
AS-8a34ea83-8f6f-46c7-8ba4-e41db11737c1,0.0057288220551378445,Stats,,175,,128,1,10.231808,0.006272727272727273,1711076582406,1711076582581,False
AS-9893cae2-e8ee-40df-8268-156a9264ebfe,0.007652130325814538,wait1,,1012,,128,1,9.33888,0.027941176470588237,1711076583096,1711076584108,False
AS-9893cae2-e8ee-40df-8268-156a9264ebfe,0.007652130325814538,AES1,0.0024390977443609022,8810,9003,256,8,22.34368,1.3170609756097562,1711076584186,1711076592996,False
AS-9893cae2-e8ee-40df-8268-156a9264ebfe,0.007652130325814538,AES2,0.006348872180451128,8792,9003,256,8,27.787264,3.385753246753247,1711076584186,1711076592978,False
AS-9893cae2-e8ee-40df-8268-156a9264ebfe,0.007652130325814538,AES3,0.01416842105263158,9003,9003,256,8,39.05536,5.108259259259259,1711076584186,1711076593189,False
AS-9893cae2-e8ee-40df-8268-156a9264ebfe,0.007652130325814538,Stats,,23,,128,1,10.366976,0.006096774193548387,1711076593364,1711076593387,False
AS-53c9072c-c965-4d9e-a4de-603d200060a5,0.005707769423558898,wait1,,1011,,128,1,9.404416,0.024312499999999997,1711076593880,1711076594891,False
AS-53c9072c-c965-4d9e-a4de-603d200060a5,0.005707769423558898,AES1,0.002449624060150376,9333,12317,256,8,22.50752,1.3783157894736842,1711076594937,1711076604270,False
AS-53c9072c-c965-4d9e-a4de-603d200060a5,0.005707769423558898,AES2,0.002449624060150376,12011,12317,256,8,22.536192,1.3930133333333332,1711076594941,1711076606952,False
AS-53c9072c-c965-4d9e-a4de-603d200060a5,0.005707769423558898,AES3,0.012224060150375941,12317,12317,256,8,36.20864,4.860946666666667,1711076594938,1711076607255,False
AS-53c9072c-c965-4d9e-a4de-603d200060a5,0.005707769423558898,Stats,,24,,128,1,10.674176,0.005,1711076607315,1711076607339,False
AS-054f3e61-de56-45ff-a038-e5fd5030e1b5,0.005686716791979951,wait1,,1008,,128,1,9.469952,0.022838709677419355,1711076607844,1711076608852,False
AS-054f3e61-de56-45ff-a038-e5fd5030e1b5,0.005686716791979951,AES1,0.004383458646616541,4010,4011,256,8,25.264128,2.0077564102564103,1711076608898,1711076612908,False
AS-054f3e61-de56-45ff-a038-e5fd5030e1b5,0.005686716791979951,AES2,0.0024285714285714284,4011,4011,256,8,22.8352,1.3246329113924051,1711076608897,1711076612908,False
AS-054f3e61-de56-45ff-a038-e5fd5030e1b5,0.005686716791979951,AES3,0.010248120300751881,3909,4011,256,8,34.209792,3.90565,1711076608898,1711076612807,False
AS-054f3e61-de56-45ff-a038-e5fd5030e1b5,0.005686716791979951,Stats,,23,,128,1,10.83392,0.0052499999999999995,1711076612980,1711076613003,False
AS-6197477a-5c29-4964-b1e3-7f9ad1dbee89,0.008314285714285715,wait1,,1006,,128,1,9.740288,0.019575757575757573,1711076613505,1711076614511,False
