Unique DAG ID,DAG Input,Function Name,Input Feature,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Start Time,End Time,Timeout Status
AS-bd2696cc-efec-44e2-a193-f68951a08ce8,0.0057288220551378445,wait1,,1194,,128,1,9.66656,0.019181818181818182,1711079280147,1711079281341,False
AS-bd2696cc-efec-44e2-a193-f68951a08ce8,0.0057288220551378445,AES1,0.0024706766917293233,20059,21045,256,8,21.757952,1.3754868421052633,1711079284137,1711079304196,False
AS-bd2696cc-efec-44e2-a193-f68951a08ce8,0.0057288220551378445,AES2,0.006380451127819549,20820,21045,256,8,27.783168,2.745065789473684,1711079284586,1711079305406,False
AS-bd2696cc-efec-44e2-a193-f68951a08ce8,0.0057288220551378445,AES3,0.008335338345864661,21045,21045,256,8,29.540352,3.471626666666667,1711079284564,1711079305609,False
AS-bd2696cc-efec-44e2-a193-f68951a08ce8,0.0057288220551378445,Stats,,189,,128,1,9.99424,0.006387096774193549,1711079307578,1711079307767,False
AS-55ab551f-f1fd-43f5-80eb-d094b3fdb157,0.007652130325814538,wait1,,1013,,128,1,9.383936,0.02634375,1711079308284,1711079309297,False
AS-55ab551f-f1fd-43f5-80eb-d094b3fdb157,0.007652130325814538,AES1,0.0024390977443609022,8972,9420,256,8,22.515712,1.3853896103896104,1711079309400,1711079318372,False
AS-55ab551f-f1fd-43f5-80eb-d094b3fdb157,0.007652130325814538,AES2,0.006348872180451128,9270,9420,256,8,27.598848,2.56024,1711079309400,1711079318670,False
AS-55ab551f-f1fd-43f5-80eb-d094b3fdb157,0.007652130325814538,AES3,0.01416842105263158,9420,9420,256,8,38.342656,5.120578947368422,1711079309400,1711079318820,False
AS-55ab551f-f1fd-43f5-80eb-d094b3fdb157,0.007652130325814538,Stats,,23,,128,1,10.305536,0.0051,1711079320655,1711079320678,False
AS-4040ce66-16f2-4841-8fed-b734fb1d4e19,0.005707769423558898,wait1,,1010,,128,1,9.764864,0.02406060606060606,1711079321204,1711079322214,False
AS-4040ce66-16f2-4841-8fed-b734fb1d4e19,0.005707769423558898,AES1,0.002449624060150376,11644,12445,256,8,22.4256,1.3237974683544305,1711079322655,1711079334299,False
AS-4040ce66-16f2-4841-8fed-b734fb1d4e19,0.005707769423558898,AES2,0.002449624060150376,12245,12445,256,8,22.409216,1.3582207792207792,1711079322654,1711079334899,False
AS-4040ce66-16f2-4841-8fed-b734fb1d4e19,0.005707769423558898,AES3,0.012224060150375941,12445,12445,256,8,35.51232,4.797684210526316,1711079322654,1711079335099,False
AS-4040ce66-16f2-4841-8fed-b734fb1d4e19,0.005707769423558898,Stats,,23,,128,1,10.698752,0.006354838709677419,1711079336369,1711079336392,False
AS-f3dc3565-74ea-4f14-9255-716a2aa10d2d,0.005686716791979951,wait1,,1006,,128,1,9.515008,0.017483870967741937,1711079336917,1711079337923,False
AS-f3dc3565-74ea-4f14-9255-716a2aa10d2d,0.005686716791979951,AES1,0.004383458646616541,3869,3869,256,8,25.255936,1.956675,1711079338018,1711079341887,False
AS-f3dc3565-74ea-4f14-9255-716a2aa10d2d,0.005686716791979951,AES2,0.0024285714285714284,3766,3869,256,8,22.654976,1.3228354430379747,1711079338020,1711079341786,False
AS-f3dc3565-74ea-4f14-9255-716a2aa10d2d,0.005686716791979951,AES3,0.010248120300751881,3758,3869,256,8,33.837056,4.047272727272727,1711079338018,1711079341776,False
AS-f3dc3565-74ea-4f14-9255-716a2aa10d2d,0.005686716791979951,Stats,,22,,128,1,11.03872,0.005617647058823529,1711079341931,1711079341953,False
AS-ed6a384b-4c8d-4b31-86d0-e98d997dfb74,0.008314285714285715,wait1,,1007,,128,1,9.580544,0.01971875,1711079342412,1711079343419,False
AS-ed6a384b-4c8d-4b31-86d0-e98d997dfb74,0.008314285714285715,AES1,0.004404511278195489,13791,14058,256,8,25.096192,1.9763846153846154,1711079343451,1711079357242,False
AS-ed6a384b-4c8d-4b31-86d0-e98d997dfb74,0.008314285714285715,AES2,0.008314285714285715,14058,14058,256,8,31.461376,3.2566883116883116,1711079343450,1711079357508,False
AS-ed6a384b-4c8d-4b31-86d0-e98d997dfb74,0.008314285714285715,AES3,0.012224060150375941,14051,14058,256,8,36.450304,4.637415584415584,1711079343450,1711079357501,False
AS-ed6a384b-4c8d-4b31-86d0-e98d997dfb74,0.008314285714285715,Stats,,22,,128,1,11.20256,0.005242424242424243,1711079357618,1711079357640,False
AS-8af24edd-7020-4412-851e-71e92f9771df,0.005734085213032582,wait1,,1006,,128,1,9.854976,0.021838709677419355,1711079358150,1711079359156,False
AS-8af24edd-7020-4412-851e-71e92f9771df,0.005734085213032582,AES1,0.0024759398496240603,18865,22453,256,8,22.765568,1.3753947368421051,1711079359214,1711079378079,False
AS-8af24edd-7020-4412-851e-71e92f9771df,0.005734085213032582,AES2,0.006385714285714286,22453,22453,256,8,28.59008,2.7782666666666667,1711079359216,1711079381669,False
AS-8af24edd-7020-4412-851e-71e92f9771df,0.005734085213032582,AES3,0.008340601503759398,20282,22453,256,8,30.9248,3.474026666666667,1711079359214,1711079379496,False
AS-8af24edd-7020-4412-851e-71e92f9771df,0.005734085213032582,Stats,,26,,128,1,11.923456,0.0056363636363636355,1711079382023,1711079382049,False
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,wait1,,1005,,128,1,9.846784,0.019727272727272725,1711079382590,1711079383595,False
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,AES1,0.006380451127819549,21332,21969,256,8,28.475392,2.7085657894736843,1711079383743,1711079405075,False
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,AES2,0.004425563909774436,21969,21969,256,8,25.86624,2.0856710526315787,1711079383745,1711079405714,False
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,AES3,0.010290225563909775,21920,21969,256,8,33.783808,3.9311756756756755,1711079383743,1711079405663,False
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,Stats,,24,,128,1,13.869056,0.004757575757575757,1711079406247,1711079406271,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,wait1,,1005,,128,1,9.613312,0.02240625,1711079406799,1711079407804,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,AES1,0.0024654135338345864,18150,18150,256,8,23.404544,1.3952,1711079407836,1711079425986,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,AES2,0.004420300751879699,17231,18150,256,8,26.005504,2.0885866666666666,1711079407836,1711079425067,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,AES3,0.012239849624060151,17800,18150,256,8,36.442112,4.730233766233766,1711079407836,1711079425636,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,Stats,,23,,128,1,13.672448,0.005193548387096774,1711079426580,1711079426603,False
