Model,Target,Training Time,Inference Time,Total Time
RandomForest,Duration,0.07209944725036621,0.0059051513671875,0.09633588790893555
LinearRegression,Duration,0.0034787654876708984,0.0006039142608642578,0.0052988529205322266
DecisionTree,Duration,0.00110626220703125,0.0004956722259521484,0.0028967857360839844
SVR,Duration,0.041944265365600586,0.03931140899658203,0.08384537696838379
XGBoost,Duration,0.1252884864807129,0.004612922668457031,0.13458013534545898
BasicNN,Duration,0.24029207229614258,0.0001575946807861328,1.0669972896575928
RandomForest,Max CPU Usage,0.08787322044372559,0.00605463981628418,0.11552929878234863
LinearRegression,Max CPU Usage,0.0012595653533935547,0.00047516822814941406,0.0029020309448242188
DecisionTree,Max CPU Usage,0.001279592514038086,0.0005080699920654297,0.00322723388671875
SVR,Max CPU Usage,0.022338151931762695,0.020485877990722656,0.044742584228515625
XGBoost,Max CPU Usage,0.025053977966308594,0.0013577938079833984,0.02910327911376953
BasicNN,Max CPU Usage,0.06818222999572754,0.0001475811004638672,0.07016682624816895
RandomForest,Max Memory Usage,0.07576203346252441,0.006009101867675781,0.0994422435760498
LinearRegression,Max Memory Usage,0.0013844966888427734,0.0006325244903564453,0.0033740997314453125
DecisionTree,Max Memory Usage,0.001310110092163086,0.0005295276641845703,0.003284931182861328
SVR,Max Memory Usage,0.03428030014038086,0.03401660919189453,0.07029914855957031
XGBoost,Max Memory Usage,0.155747652053833,0.0015366077423095703,0.15960168838500977
BasicNN,Max Memory Usage,0.07124018669128418,0.00014543533325195312,0.07304525375366211
