Unique DAG ID,DAG Input Content,DAG Input Size,Function Name,Function Input,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Avg CPU Usage,Start Time,End Time,Timeout Status,Input File
AS-69f6ee95-7e43-423c-aa76-38200707cada,100,10200,wait1,10200,1229,,128,1,9.70752,0.011876923076923078,0.005610082271753192,1712869110671,1712869111900,False,./profiling/aes_inputs_100content/run83.json
AS-69f6ee95-7e43-423c-aa76-38200707cada,100,10200,AES1,10200,6306,19452,256,8,21.561344,0.6528125,0.6246973727453506,1712869113282,1712869119588,False,./profiling/aes_inputs_100content/run83.json
AS-69f6ee95-7e43-423c-aa76-38200707cada,100,10200,AES2,40800,13156,19452,256,8,27.881472,3.682386167146974,1.2642230616779457,1712869113514,1712869126670,False,./profiling/aes_inputs_100content/run83.json
AS-69f6ee95-7e43-423c-aa76-38200707cada,100,10200,AES3,91800,19452,19452,256,8,32.485376,3.3812988047808767,1.8670683100753043,1712869113286,1712869132738,False,./profiling/aes_inputs_100content/run83.json
AS-69f6ee95-7e43-423c-aa76-38200707cada,100,10200,Stats,10200,234,,128,1,9.920512,0.0062343749999999995,0.0062343749999999995,1712869133206,1712869133440,False,./profiling/aes_inputs_100content/run83.json
AS-7e138787-a9b1-4326-a6e0-9510c7e9145a,100,5500,wait1,5500,1006,,128,1,9.457664,0.016707692307692305,0.0059617262320829645,1712869134040,1712869135046,False,./profiling/aes_inputs_100content/run36.json
AS-7e138787-a9b1-4326-a6e0-9510c7e9145a,100,5500,AES1,5500,5571,12772,256,8,21.843968,4.096011111111111,0.6680061027256643,1712869135096,1712869140667,False,./profiling/aes_inputs_100content/run36.json
AS-7e138787-a9b1-4326-a6e0-9510c7e9145a,100,5500,AES2,22000,8867,12772,256,8,27.38176,4.029219607843137,1.2306476921649676,1712869135102,1712869143969,False,./profiling/aes_inputs_100content/run36.json
AS-7e138787-a9b1-4326-a6e0-9510c7e9145a,100,5500,AES3,49500,12772,12772,256,8,33.517568,4.904074509803921,1.8543391564477683,1712869135096,1712869147868,False,./profiling/aes_inputs_100content/run36.json
AS-7e138787-a9b1-4326-a6e0-9510c7e9145a,100,5500,Stats,5500,25,,128,1,10.031104,0.0053692307692307685,0.0053692307692307685,1712869147895,1712869147920,False,./profiling/aes_inputs_100content/run36.json
AS-b31b0f17-a17f-4fb2-8c3e-df079245e74e,100,4200,wait1,4200,1004,,128,1,9.453568,0.01731818181818182,0.005810840228902208,1712869148505,1712869149509,False,./profiling/aes_inputs_100content/run23.json
AS-b31b0f17-a17f-4fb2-8c3e-df079245e74e,100,4200,AES1,4200,2534,7543,256,8,21.77024,0.6696451612903226,0.6195639579721626,1712869149548,1712869152082,False,./profiling/aes_inputs_100content/run23.json
AS-b31b0f17-a17f-4fb2-8c3e-df079245e74e,100,4200,AES2,16800,5263,7543,256,8,27.500544,1.3361346153846154,1.1933342817587151,1712869149548,1712869154811,False,./profiling/aes_inputs_100content/run23.json
AS-b31b0f17-a17f-4fb2-8c3e-df079245e74e,100,4200,AES3,37800,7543,7543,256,8,33.603584,1.9649433962264151,1.8630693292837575,1712869149544,1712869157087,False,./profiling/aes_inputs_100content/run23.json
AS-b31b0f17-a17f-4fb2-8c3e-df079245e74e,100,4200,Stats,4200,24,,128,1,10.285056,0.0034603174603174604,0.0034603174603174604,1712869157111,1712869157135,False,./profiling/aes_inputs_100content/run23.json
AS-aa5d21e5-42ef-4228-b1f8-f8f4d30bab95,100,5000,wait1,5000,1008,,128,1,9.433088,0.024584615384615382,0.006481894987647131,1712869157682,1712869158690,False,./profiling/aes_inputs_100content/run31.json
AS-aa5d21e5-42ef-4228-b1f8-f8f4d30bab95,100,5000,AES1,5000,2997,9057,256,8,21.95456,0.6624430379746836,0.6211951995391514,1712869158731,1712869161728,False,./profiling/aes_inputs_100content/run31.json
AS-aa5d21e5-42ef-4228-b1f8-f8f4d30bab95,100,5000,AES2,20000,6332,9057,256,8,27.787264,1.3341153846153846,1.176152395189943,1712869158729,1712869165061,False,./profiling/aes_inputs_100content/run31.json
AS-aa5d21e5-42ef-4228-b1f8-f8f4d30bab95,100,5000,AES3,45000,9057,9057,256,8,33.796096,1.965427672955975,1.8485005035228474,1712869158733,1712869167790,False,./profiling/aes_inputs_100content/run31.json
AS-aa5d21e5-42ef-4228-b1f8-f8f4d30bab95,100,5000,Stats,5000,24,,128,1,10.428416,0.003476923076923077,0.003476923076923077,1712869167818,1712869167842,False,./profiling/aes_inputs_100content/run31.json
AS-f86b7757-82a8-4dcd-9e53-78b80ce570c8,100,6300,wait1,6300,1008,,128,1,9.457664,0.01528125,0.006679321031448253,1712869168384,1712869169392,False,./profiling/aes_inputs_100content/run44.json
AS-f86b7757-82a8-4dcd-9e53-78b80ce570c8,100,6300,AES1,6300,3760,11238,256,8,22.03648,0.6570496894409938,0.6223869046771096,1712869169430,1712869173190,False,./profiling/aes_inputs_100content/run44.json
AS-f86b7757-82a8-4dcd-9e53-78b80ce570c8,100,6300,AES2,25200,7569,11238,256,8,27.877376,1.30359375,1.2331702186634181,1712869169439,1712869177008,False,./profiling/aes_inputs_100content/run44.json
AS-f86b7757-82a8-4dcd-9e53-78b80ce570c8,100,6300,AES3,56700,11238,11238,256,8,33.923072,1.9997820512820512,1.8666281408268945,1712869169440,1712869180678,False,./profiling/aes_inputs_100content/run44.json
AS-f86b7757-82a8-4dcd-9e53-78b80ce570c8,100,6300,Stats,6300,23,,128,1,10.657792,0.004076923076923077,0.004076923076923077,1712869180712,1712869180735,False,./profiling/aes_inputs_100content/run44.json
AS-fc2e17c9-285a-4851-8eec-8213d86fb9d0,100,7200,wait1,7200,1007,,128,1,9.859072,0.012158730158730159,0.00672866390978636,1712869181399,1712869182406,False,./profiling/aes_inputs_100content/run53.json
AS-fc2e17c9-285a-4851-8eec-8213d86fb9d0,100,7200,AES1,7200,4263,12851,256,8,21.93408,0.65309375,0.6250031838178869,1712869182443,1712869186706,False,./profiling/aes_inputs_100content/run53.json
AS-fc2e17c9-285a-4851-8eec-8213d86fb9d0,100,7200,AES2,28800,8599,12851,256,8,27.910144,1.3278471337579618,1.238724191546933,1712869182439,1712869191038,False,./profiling/aes_inputs_100content/run53.json
