Model,Target,Training Time,Inference Time,Total Time
RandomForest,Max CPU Usage,0.07967925071716309,0.0038597583770751953,0.10554909706115723
LinearRegression,Max CPU Usage,0.0013780593872070312,0.00051116943359375,0.0028688907623291016
DecisionTree,Max CPU Usage,0.0012562274932861328,0.0004782676696777344,0.0029578208923339844
SVR,Max CPU Usage,0.004888772964477539,0.0013580322265625,0.007565498352050781
XGBoost,Max CPU Usage,0.06113910675048828,0.0018236637115478516,0.06515169143676758
BasicNN,Max CPU Usage,0.2117018699645996,0.0001347064971923828,0.21370315551757812
RandomForest,Max Memory Usage,0.07773566246032715,0.003879070281982422,0.10374093055725098
LinearRegression,Max Memory Usage,0.0011496543884277344,0.0004992485046386719,0.002624988555908203
DecisionTree,Max Memory Usage,0.0012655258178710938,0.0004985332489013672,0.0029740333557128906
SVR,Max Memory Usage,0.00487971305847168,0.001543283462524414,0.007842540740966797
XGBoost,Max Memory Usage,0.05987238883972168,0.0018472671508789062,0.06392550468444824
BasicNN,Max Memory Usage,0.20217299461364746,0.00013327598571777344,0.20407748222351074
