Model,Target,Training Time,Inference Time,Total Time
RandomForest,Duration,0.07502985000610352,0.005986928939819336,0.09989333152770996
LinearRegression,Duration,0.0016450881958007812,0.0006647109985351562,0.003507375717163086
DecisionTree,Duration,0.0010938644409179688,0.0005030632019042969,0.0028448104858398438
SVR,Duration,0.038704872131347656,0.03893232345581055,0.07963848114013672
XGBoost,Duration,0.06643319129943848,0.0016155242919921875,0.07149171829223633
BasicNN,Duration,0.23335719108581543,0.00015592575073242188,1.0039889812469482
RandomForest,Max CPU Usage,0.07353639602661133,0.006036520004272461,0.09675836563110352
LinearRegression,Max CPU Usage,0.001207590103149414,0.0004832744598388672,0.0028600692749023438
DecisionTree,Max CPU Usage,0.0012738704681396484,0.0005364418029785156,0.0033805370330810547
SVR,Max CPU Usage,0.01980757713317871,0.02122211456298828,0.043180227279663086
XGBoost,Max CPU Usage,0.01697564125061035,0.0012178421020507812,0.020235300064086914
BasicNN,Max CPU Usage,0.06552934646606445,0.00012993812561035156,0.06762194633483887
RandomForest,Max Memory Usage,0.08826231956481934,0.0060160160064697266,0.11102080345153809
LinearRegression,Max Memory Usage,0.001176595687866211,0.0005097389221191406,0.0028569698333740234
DecisionTree,Max Memory Usage,0.0010569095611572266,0.0005431175231933594,0.0028438568115234375
SVR,Max Memory Usage,0.035016536712646484,0.03509187698364258,0.07211947441101074
XGBoost,Max Memory Usage,0.019667863845825195,0.0012404918670654297,0.02295398712158203
BasicNN,Max Memory Usage,0.07469034194946289,0.000141143798828125,0.07629942893981934
