Model,Target,Training Time,Inference Time,Total Time
RandomForest,Max CPU Usage,0.07427453994750977,0.0037245750427246094,0.09657692909240723
LinearRegression,Max CPU Usage,0.0012104511260986328,0.0004930496215820312,0.002753019332885742
DecisionTree,Max CPU Usage,0.0011484622955322266,0.0005071163177490234,0.0032112598419189453
SVR,Max CPU Usage,0.003798961639404297,0.0016524791717529297,0.0073015689849853516
XGBoost,Max CPU Usage,0.384584903717041,0.0013675689697265625,0.38809895515441895
BasicNN,Max CPU Usage,0.34103965759277344,0.00013756752014160156,0.3432621955871582
RandomForest,Max Memory Usage,0.06862092018127441,0.003370523452758789,0.0897829532623291
LinearRegression,Max Memory Usage,0.0010695457458496094,0.0004792213439941406,0.0024781227111816406
DecisionTree,Max Memory Usage,0.00109100341796875,0.00048804283142089844,0.0027108192443847656
SVR,Max Memory Usage,0.003445863723754883,0.0011539459228515625,0.005917787551879883
XGBoost,Max Memory Usage,0.04617667198181152,0.0013425350189208984,0.04969429969787598
BasicNN,Max Memory Usage,0.32839345932006836,0.00013637542724609375,0.3302574157714844
