Unique DAG ID,DAG Input Content,DAG Input Size,Function Name,Function Input,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Avg CPU Usage,Start Time,End Time,Timeout Status,Input File,Predicted Input Size,Predicted Max CPU Usage,Predicted Max Memory Usage
AS-11e89baf-979f-4b15-9337-485987d59503,50,10200,AES1,10200,4137,12029.0,256,8,21.536768,0.669724358974359,0.6259350738554034,1712867476463,1712867480600,False,./profiling/aes_inputs/run83.json,10180.0,0.6583499838522129,23.54589695999998
AS-9f122354-8cb0-419e-9bd1-e6520454e430,50,4200,AES3,37800,5064,5064.0,256,8,33.103872,1.961415094339623,1.7917655026952295,1712867498855,1712867503919,False,./profiling/aes_inputs/run23.json,37350.0,1.9784797819799607,35.92794111999998
AS-49e2b177-2137-4541-a2d6-7629af7284bd,50,6300,wait1,6300,1005,,128,1,9.64608,0.0145238095238095,0.0057379316347347,1712867511841,1712867512846,False,./profiling/aes_inputs/run44.json,6284.0,0.0158357813644688,10.895605759999988
AS-49e2b177-2137-4541-a2d6-7629af7284bd,50,6300,AES1,6300,2439,7600.0,256,8,21.938176,0.6610506329113924,0.620294838836111,1712867512897,1712867515336,False,./profiling/aes_inputs/run44.json,6277.0,0.6532364397241261,24.06232064000001
AS-2ec208de-f336-4341-999b-3e7f0ea1522d,50,2400,Stats,2400,25,,128,1,10.489856,0.0035522388059701,0.0035522388059701,1712867536008,1712867536033,False,./profiling/aes_inputs/run5.json,2405.0,0.004083539857320084,12.66139136
AS-9b6fecf4-33c1-42a5-8e23-815a611dc1a4,50,10700,AES3,96300,12547,12547.0,256,8,33.521664,2.002083333333333,1.844375769418077,1712867546335,1712867558882,False,./profiling/aes_inputs/run88.json,96327.0,2.1036164786530063,36.01104895999993
AS-7b1e375a-c3af-47bb-9903-7cb036a8434e,50,6500,AES3,58500,7538,7538.0,256,8,34.000896,1.9630506329113928,1.8624111449530392,1712867560554,1712867568092,False,./profiling/aes_inputs/run46.json,57384.0,1.9989029950897046,35.633397759999966
AS-7b1e375a-c3af-47bb-9903-7cb036a8434e,50,6500,Stats,6500,25,,128,1,11.01824,0.0035454545454545,0.0035454545454545,1712867568131,1712867568156,False,./profiling/aes_inputs/run46.json,6491.0,0.004699701704545443,12.670730240000006
AS-4fbf3627-b498-4acf-a6ff-fa8eea2bde4e,50,11000,wait1,11000,1009,,128,1,9.728,0.00715625,0.0058553113215144,1712867568739,1712867569748,False,./profiling/aes_inputs/run91.json,10965.0,0.012358227564102582,10.135715839999982
AS-4fbf3627-b498-4acf-a6ff-fa8eea2bde4e,50,11000,AES2,44000,8529,12723.0,256,8,27.963392,1.3191202531645567,1.222481252953722,1712867569817,1712867578346,False,./profiling/aes_inputs/run91.json,44080.0,1.3431620228983476,29.76944127999999
AS-4fbf3627-b498-4acf-a6ff-fa8eea2bde4e,50,11000,AES3,99000,12723,12723.0,256,8,33.513472,1.9765128205128204,1.862141836790595,1712867569811,1712867582534,False,./profiling/aes_inputs/run91.json,99450.0,3.200902269537286,36.20413439999997
AS-4fbf3627-b498-4acf-a6ff-fa8eea2bde4e,50,11000,Stats,11000,25,,128,1,11.239424,0.0039538461538461,0.0039538461538461,1712867582578,1712867582603,False,./profiling/aes_inputs/run91.json,10970.0,0.0034789457391695873,12.830883839999988
AS-bee1396f-ab24-4e88-852c-d58d62879c8c,50,10400,AES3,93600,11951,11951.0,256,8,34.127872,1.9685796178343948,1.872840656729141,1712867584286,1712867596237,False,./profiling/aes_inputs/run85.json,92961.0,1.9972878146106117,34.13905408
AS-7fc83d50-e421-405c-8372-2060c35561e3,50,10300,AES1,10300,3905,11898.0,256,8,22.298624,0.676025641025641,0.6278710291237473,1712867613919,1712867617824,False,./profiling/aes_inputs/run84.json,10286.0,0.6658793002839936,23.43190527999998
AS-732d1206-e4de-461e-8a02-6f2c7ade2805,50,8700,wait1,8700,1005,,128,1,9.74848,0.012734375,0.0059051127523909,1712867632460,1712867633465,False,./profiling/aes_inputs/run68.json,8707.0,0.018937948749371505,10.87049727999998
AS-a8de75d8-98f8-4bbb-8bc1-a46c61447c0b,50,10900,AES2,43600,8228,12704.0,256,8,28.557312,1.344567741935484,1.2472170196859176,1712867645341,1712867653569,False,./profiling/aes_inputs/run90.json,43200.0,1.3461973046663938,30.22950399999999
AS-a8de75d8-98f8-4bbb-8bc1-a46c61447c0b,50,10900,AES3,98100,12704,12704.0,256,8,34.189312,1.9998653846153849,1.8552757569496936,1712867645336,1712867658040,False,./profiling/aes_inputs/run90.json,98226.0,2.4894272401219224,36.12626943999994
AS-996331a8-ea69-44f3-ae3d-1a3e803413ea,50,7500,AES1,7500,2891,8750.0,256,8,22.618112,0.6576433121019108,0.620612654024453,1712867659641,1712867662532,False,./profiling/aes_inputs/run56.json,7482.0,0.6649886808883122,24.574525439999984
AS-4eefeb63-6639-44a9-9573-e8d25f4af3e4,50,2500,Stats,2500,24,,128,1,12.955648,0.0037076923076923,0.0037076923076923,1712867673009,1712867673033,False,./profiling/aes_inputs/run6.json,2503.0,0.004731964535576414,13.016965120000007
AS-1b147f24-0725-4fe1-a31c-e69826e771b7,50,9800,AES2,39200,7448,11290.0,256,8,28.708864,1.3291032258064517,1.2444910005772591,1712867674619,1712867682067,False,./profiling/aes_inputs/run79.json,38452.0,1.6197474410639936,30.17146368000004
AS-fb406766-1f51-4ce4-9f0e-bac5519ecd05,50,2700,wait1,2700,1007,,128,1,9.854976,0.0141846153846153,0.0061471418606065,1712867686541,1712867687548,False,./profiling/aes_inputs/run8.json,2669.0,0.0118777089577089,10.940661759999987
AS-fb406766-1f51-4ce4-9f0e-bac5519ecd05,50,2700,AES1,2700,1073,3243.0,256,8,22.786048,0.6611835443037974,0.6127863695156612,1712867687609,1712867688682,False,./profiling/aes_inputs/run8.json,2683.0,0.664128088030581,23.247585280000013
AS-790ae983-fba2-4a34-83d5-100a7a016251,50,9100,AES1,9100,3458,10480.0,256,8,22.81472,0.65321875,0.6271317987299476,1712867705497,1712867708955,False,./profiling/aes_inputs/run72.json,9093.0,0.6523300576923086,24.202199040000018
AS-95cf8533-a791-41b4-a7a5-70bdad51f410,50,8000,wait1,8000,1008,,128,1,9.9328,0.0198030303030303,0.0057794171762807,1712867722875,1712867723883,False,./profiling/aes_inputs/run61.json,7971.0,0.02044101685277078,10.06493696000001
