Relative Timestamp (s),CPU Usage (%),Memory Usage (%)
0.004193782806396484,31.2,33.2
0.1045997142791748,20.4,33.2
0.20491814613342285,11.3,33.2
0.30521583557128906,23.7,33.4
0.40549325942993164,11.4,33.5
0.5058324337005615,10.1,33.5
0.6061697006225586,6.3,33.5
0.7065517902374268,14.5,33.5
0.8068826198577881,20.4,33.6
0.9072022438049316,23.6,33.7
1.007511854171753,10.8,33.6
1.1078579425811768,7.0,33.6
1.2082526683807373,7.5,33.6
1.3086459636688232,3.1,33.6
1.4090654850006104,2.5,33.6
1.5093960762023926,2.5,33.6
1.6098854541778564,1.3,33.6
1.7103149890899658,2.5,33.6
1.8106906414031982,3.1,33.6
1.911113977432251,2.5,33.6
2.0115702152252197,1.9,33.6
2.111889362335205,2.5,33.6
2.2122955322265625,6.9,33.6
2.3127241134643555,27.5,33.7
2.412994146347046,23.5,33.7
2.513308525085449,34.2,33.7
2.613649845123291,20.4,33.8
2.7140514850616455,11.5,33.9
2.8144075870513916,35.4,34.0
2.9147555828094482,18.2,34.1
3.015087366104126,46.8,34.1
3.1154067516326904,39.5,34.1
3.215715169906616,24.2,34.1
3.3159854412078857,24.7,34.2
3.4162983894348145,23.9,34.2
3.5166563987731934,23.9,34.3
3.6169893741607666,20.0,34.3
3.717367172241211,41.8,34.4
3.8176708221435547,53.5,34.4
3.917983293533325,38.4,34.3
4.018418788909912,25.2,34.3
4.1187567710876465,8.2,34.3
4.219224214553833,5.7,34.2
4.319544553756714,19.4,34.2
4.419863700866699,20.8,34.2
4.52017068862915,11.4,34.3
4.6204893589019775,10.8,34.2
4.720813512802124,7.5,34.2
4.821157455444336,13.0,34.3
4.921545028686523,6.3,34.3
5.021950721740723,1.3,34.3
5.122398376464844,1.9,34.2
5.22283935546875,0.6,34.2
5.323214769363403,5.0,34.2
5.4235615730285645,1.9,34.2
5.5238447189331055,11.6,34.2
5.624177694320679,12.7,34.2
5.724651575088501,3.8,34.2
5.8250463008880615,1.2,34.2
5.925465106964111,4.3,34.2
